"subnum","age","01_win_full_arsl","01_win_full_vln","01_win_low_arsl","01_win_low_vln","01_win_med_arsl","01_win_med_vln","att_1","att_2","01_lose_full_arsl","01_lose_full_vln","01_lose_low_arsl","01_lose_low_vln","01_lose_med_arsl","01_lose_med_vln","att_3","att_4","04_a_full_arsl","04_a_full_vln","04_a_low_arsl","04_a_low_vln","04_a_med_arsl","04_a_med_vln","04_h_full_arsl","04_h_full_vln","04_h_low_arsl","04_h_low_vln","04_h_med_arsl","04_h_med_vln","04_s_full_arsl","04_s_full_vln","04_s_low_arsl","04_s_low_vln","04_s_med_arsl","04_s_med_vln","116_a_full_arsl","116_a_full_vln","116_a_low_arsl","116_a_low_vln","116_a_med_arsl","116_a_med_vln","116_h_full_arsl","116_h_full_vln","116_h_low_arsl","116_h_low_vln","116_h_med_arsl","116_h_med_vln","116_s_full_arsl","116_s_full_vln","116_s_low_arsl","116_s_low_vln","116_s_med_arsl","116_s_med_vln","133_a_full_arsl","133_a_full_vln","133_a_low_arsl","133_a_low_vln","133_a_med_arsl","133_a_med_vln","133_h_full_arsl","133_h_full_vln","133_h_low_arsl","133_h_low_vln","133_h_med_arsl","133_h_med_vln","133_s_full_arsl","133_s_full_vln","133_s_low_arsl","133_s_low_vln","133_s_med_arsl","133_s_med_vln","49_a_full_arsl","49_a_full_vln","49_a_low_arsl","49_a_low_vln","49_a_med_arsl","49_a_med_vln","49_h_full_arsl","49_h_full_vln","49_h_low_arsl","49_h_low_vln","49_h_med_arsl","49_h_med_vln","49_s_full_arsl","49_s_full_vln","49_s_low_arsl","49_s_low_vln","49_s_med_arsl","49_s_med_vln","69_a_full_arsl","69_a_full_vln","69_a_low_arsl","69_a_low_vln","69_a_med_arsl","69_a_med_vln","69_h_full_arsl","69_h_full_vln","69_h_low_arsl","69_h_low_vln","69_h_med_arsl","69_h_med_vln","69_s_full_arsl","69_s_full_vln","69_s_low_arsl","69_s_low_vln","69_s_med_arsl","69_s_med_vln","113_a_full_arsl","113_a_full_vln","113_a_low_arsl","113_a_low_vln","113_a_med_arsl","113_a_med_vln","113_h_full_arsl","113_h_full_vln","113_h_low_arsl","113_h_low_vln","113_h_med_arsl","113_h_med_vln","113_s_full_arsl","113_s_full_vln","113_s_low_arsl","113_s_low_vln","113_s_med_arsl","113_s_med_vln"
1,"68",1,4,1,4,1,4,4,7,1,4,1,4,4,4,2,6,5,2,4,3,4,3,4,7,4,5,4,5,4,3,4,3,4,4,5,1,6,1,7,1,4,7,4,6,4,6,4,3,4,4,4,3,4,2,4,3,5,2,4,7,4,5,4,6,4,3,4,4,4,4,4,4,4,3,4,3,4,7,4,5,4,7,4,4,4,4,4,3,5,1,4,3,4,3,5,7,4,7,4,6,4,2,5,3,5,3,5,2,4,3,4,2,4,7,4,5,5,7,5,2,4,4,4,3
2,"73",4,5,4,6,4,4,4,7,4,5,4,5,4,4,2,6,3,2,3,2,1,3,3,2,2,2,3,2,2,2,1,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,2,1,1,1,1,1,3,2,2,2,3,4,3,3,4,4,3,3,3,4,3,3,3,3,2,2,3,2,2,2,3,2,2,1,3,2,3,2,3,2,3,2
3,"79",2,5,3,5,3,6,4,7,3,5,2,5,4,5,2,6,2,4,5,3,2,4,6,7,5,7,6,7,6,1,4,4,6,1,7,1,7,1,7,1,6,1,5,7,6,7,5,2,3,4,6,2,5,2,3,3,7,1,6,6,6,6,6,6,5,3,2,4,1,4,6,3,5,3,6,2,7,7,6,7,6,7,6,1,7,1,7,1,6,1,2,3,7,1,6,1,5,5,5,7,6,1,7,1,5,1,5,2,4,3,5,3,6,2,6,6,6,6,6,1,2,3,6,1
4,"77",4,5,4,5,4,5,4,7,2,2,1,3,4,3,2,6,4,3,4,4,1,4,4,5,3,4,4,4,4,3,4,3,4,4,5,2,4,4,4,2,3,5,4,5,4,4,3,2,1,4,3,3,4,3,4,4,2,3,2,5,3,4,4,4,5,3,4,4,4,4,3,3,3,2,4,2,4,5,4,5,1,5,5,3,4,4,2,3,4,3,5,2,2,4,4,5,4,4,4,5,2,4,4,4,4,4,4,3,3,3,4,4,5,5,4,5,5,5,4,4,4,4,5,3
5,"69",4,4,3,5,3,4,4,7,4,4,3,4,1,3,2,6,2,2,2,2,1,4,3,4,5,5,5,5,3,4,4,5,3,4,1,1,1,2,2,2,3,4,4,4,4,4,4,4,4,4,1,1,1,3,2,4,2,2,1,3,1,3,5,5,4,4,1,1,4,4,1,2,1,1,2,4,4,4,4,4,4,5,3,4,5,4,3,4,3,4,2,2,3,4,5,5,4,5,4,4,3,4,4,4,3,4,2,2,2,2,1,1,1,2,4,4,1,1,4,4,4,4,4,4
6,"73",4,5,5,5,3,4,4,7,4,3,4,3,1,3,2,6,1,4,1,4,1,4,1,3,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,3,1,3,1,4,1,4,1,3,1,4,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4
7,"74",7,7,5,5,7,7,4,7,6,4,5,4,7,2,2,6,5,3,3,2,6,1,7,7,1,4,4,6,6,1,7,4,4,3,7,1,6,1,4,1,6,6,5,5,6,3,7,3,1,3,3,4,7,1,3,3,7,1,7,7,6,6,4,5,5,5,3,3,5,4,5,2,3,3,6,2,7,7,7,7,2,5,5,4,6,4,6,3,7,1,2,3,7,1,3,6,3,5,6,6,6,3,4,4,3,4,3,2,5,3,5,3,7,7,2,5,5,6,7,1,6,3,6,4
8,"76",5,6,4,6,6,7,4,7,4,2,3,3,4,2,2,6,2,3,2,3,2,4,6,7,3,5,5,6,2,3,2,3,2,4,1,1,3,3,2,2,6,7,3,5,5,6,2,3,3,4,2,4,1,2,1,4,2,3,6,7,4,6,6,6,2,4,1,4,1,4,1,4,2,3,1,2,7,7,3,5,6,6,3,3,1,4,1,4,1,2,1,4,1,1,7,7,6,6,4,6,2,3,2,3,2,3,1,3,2,3,2,3,7,7,5,6,6,7,2,3,2,4,2,4
9,"71",4,6,4,4,4,3,4,7,4,2,4,3,4,3,2,6,3,2,4,3,4,2,4,6,4,5,4,5,3,2,1,4,4,2,4,1,4,3,4,2,4,6,4,4,4,6,4,1,4,4,4,2,4,1,3,3,4,2,4,5,4,5,4,7,4,4,4,4,3,4,4,2,4,3,4,2,2,6,4,5,4,5,4,2,4,3,4,3,4,1,3,3,4,3,4,7,4,6,4,6,4,3,3,2,5,3,4,3,5,2,4,3,4,5,4,5,4,6,4,2,4,4,4,3
10,"69",3,4,4,5,4,5,4,7,3,3,3,4,3,2,2,6,2,2,2,2,1,1,2,2,2,2,2,2,1,1,2,2,1,1,2,2,1,1,1,1,2,2,1,1,1,1,2,2,1,1,2,2,2,2,1,2,2,2,4,6,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,1,2,2,2,2,2,2,1,2
